Start Date,07/01/2019,,,,,,,,,,,,,,,,
End Date,05/01/2026,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,SHEL LN Equity,BP/ LN Equity,BARC LN Equity,HSBA LN Equity,ULVR LN Equity,TSCO LN Equity,AZN LN Equity,GSK LN Equity,NG/ LN Equity,DGE LN Equity,IGLS LN Equity,VGOV LN Equity,SLXX LN Equity,SGLN LN Equity,UKX Index,GUKG10 Index,VUKE LN Equity
,#NAME?,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...,#N/A Requesting Data...
Dates,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
12/02/2021,1358.2,261.8,145.9,401.8,4247.315,304.76,7471,1292.81,794.657,3009,134.01,24.845,157.44,2577.5,6589.79,0.517,29.095
19/02/2021,1397.2,272.35,153.64,423.95,4187.267,227.6,7226,1229.283,783.708,2996.5,133.7,24.32,155.27,2488,6624.02,0.698,29.325
26/02/2021,1444.8,291.75,159.6,426.2,4002.834,224.8,6945,1204.6,748.262,2812.5,133.375,23.895,152.86,2415.5,6483.43,0.82,28.69
05/03/2021,1548.4,318.8,171.58,437.6,4172.255,224,6858,1257.405,768.305,2941.5,133.515,24.22125,153.895,2398.5,6630.52,0.756,29.4075
12/03/2021,1583.6,323.45,180.6,428.4,4235.52,223.8,6951,1274.4,777.955,2997.5,133.48,23.99375,152.015,2405.25,6761.47,0.822,30.03
19/03/2021,1496.4,306.7,182.6,430.85,4237.664,228.7,7110,1311.221,781.295,2996,133.51,23.96125,151.05,2449.5,6708.71,0.838,29.49
26/03/2021,1450.6,302.65,182.96,422.7,4336.314,228.6,7271,1312.233,797.997,2983,133.64,24.22,152.45,2455,6740.59,0.757,29.715
02/04/2021,1412.2,289.8,184,423.2,4312.724,227.95,7172,1292.406,801.245,3007,133.54,24.04,152.315,2439.5,6737.3,0.795,29.715
09/04/2021,1395.8,295,185.7,437.4,4429.603,234.4,7287,1334.893,835.578,3183,133.57,24.1475,153.12,2480.5,6915.75,0.774,30.52
16/04/2021,1412.8,302.95,189.18,427.45,4464.988,231.85,7380,1362.003,837.248,3230,133.61,24.16375,153.93,2512,7019.53,0.764,30.98
23/04/2021,1356.2,292.1,181.98,419,4410.838,222.55,7564,1358.159,838.361,3296,133.66,24.24875,153.58,2504.5,6938.56,0.744,30.655
